Index,Provider,Size,Complexity,amb_wrds,punc_freq,acronym,connective_wrd,imprecise_wrd,grammar_chk,spell_chk
1,avidxchange,3291,7.33,0.178669098,0.013515957,0.035551504,0.119416591,0.020054695,0.829059829,0.086295959
2,Kamatera,2483,7.38,0.17841321,0.018511905,0.044703987,0.078131293,0.015706806,0.837837838,0.112766814
3,Samsara,3776,7.53,0.194385593,0.01718241,0.029131356,0.097457627,0.018008475,1.318181818,0.086599576
4,automattic,7112,6.61,0.132874016,0.017971586,0.034308211,0.089848144,0.023059618,0.959016393,0.084223847
5,aws,4600,7.12,0.156521739,0.019732529,0.030869565,0.082173913,0.016086957,0.570422535,0.090869565
6,Oracle,5014,6.95,0.157758277,0.014804678,0.035500598,0.100518548,0.017351416,0.415730337,0.071599521
7,vts,2321,7.73,0.203791469,0.015584592,0.033606204,0.077552779,0.014648858,0.423076923,0.096079276
8,Exabeam,4189,7,0.188111721,0.013280609,0.037717832,0.098352829,0.018620196,0.955696203,0.07830031
9,Gusto,4763,7.71,0.138988033,0.026817735,0.020155364,0.097837497,0.01469662,1.479166667,0.07117363
10,Dropbo,12605,6.34,0.11796906,0.019873873,0.046727489,0.083300278,0.017215391,1.146010187,0.068861563
11,squarespace,6062,6.83,0.13378423,0.014994897,0.039425932,0.094193336,0.017485978,0.820083682,0.074067964
12,Adobe,4924,6.79,0.141957758,0.018504739,0.034727864,0.100731113,0.019496344,0.713450292,0.087124289
13,Verizon,7331,8.04,0.115127541,0.017114722,0.045696358,0.112808621,0.021143091,3.391044776,0.083890329
14,Seismic,6093,6.97,0.145741014,0.015409777,0.033973412,0.089446906,0.02314131,0.768115942,0.075496471
15,Cloudflare,5252,6.99,0.159177456,0.017347226,0.036176695,0.092536177,0.01351866,1.263157895,0.090251333
16,workfron,3615,8.41,0.188381743,0.014927919,0.030152144,0.083540802,0.017150761,3.449541284,0.092392808
17,Weave,3471,7.08,0.17343705,0.017545459,0.038317488,0.090175742,0.023624316,0.413533835,0.088735235
18,Veeam,2514,8.35,0.193715195,0.013877752,0.033412888,0.103818616,0.018297534,2.119047619,0.093078759
19,Acquia,4499,7.21,0.178039564,0.01473812,0.032007113,0.121138031,0.018670816,1.006944444,0.074905535
20,InVision,5987,7.16,0.151327877,0.02064339,0.029564055,0.090696509,0.018206113,1.254237288,0.084349424
21,intercom,4689,6.74,0.156110045,0.014490862,0.039880572,0.09682235,0.021326509,0.513368984,0.071017274
22,Illumio,2266,8.65,0.224183583,0.011345773,0.023389232,0.097087379,0.011473963,1.509433962,0.078552515
23,lookou,8126,6.34,0.129091804,0.0123613,0.053285749,0.091681024,0.020920502,0.815242494,0.065714989
24,cloudbees,1742,7.59,0.233639495,0.015669014,0.03673938,0.088978186,0.017221584,0.890625,0.106773823
25,VMware,5098,7.06,0.156139663,0.017451432,0.032169478,0.104550804,0.023538643,1.018292683,0.082973715
26,Procore,5825,6.88,0.147639485,0.016728871,0.032103004,0.103347639,0.023175966,1.139037433,0.082403433
27,OneTrus,6222,6.97,0.144969463,0.015330861,0.031822565,0.108486017,0.014786242,1.131313131,0.074252652
28,Segmen,6660,6.57,0.131081081,0.015231225,0.038888889,0.086786787,0.016666667,0.942084942,0.070570571
29,Sisense,2640,7.44,0.180681818,0.014930617,0.03030303,0.078030303,0.017424242,1.9375,0.08219697
30,Onshape,3799,8.14,0.166096341,0.015293924,0.038431166,0.091339826,0.018425902,0.643835616,0.08449592
