Index,Provider,Size,Complexity,amb_wrds,punc_freq,acronym,connective_wrd,imprecise_wrd,grammar_chk,spell_chk
1,Samsara,5253,8.35,0.179516467,0.018318284,0.035789073,0.087949743,0.009137636,1.765957447,0.100704359
2,Airtable,2569,7.74,0.214480343,0.018995434,0.03464383,0.07045543,0.015570261,1.04494382,0.110548852
3,Gitlab,18989,7.39,0.085207225,0.020730625,0.025488441,0.1202275,0.009637158,0.756198347,0.054347254
4,Turbonomic,4577,7.69,0.175660913,0.017102681,0.043041293,0.09744374,0.005899061,1.294416244,0.098973127
5,AWS,23541,6.22,0.0765473,0.017229066,0.044518075,0.081050083,0.016821715,0.334923664,0.067159424
6,Oracle,3461,7.55,0.187518058,0.02206056,0.036116729,0.093903496,0.013290956,0.496,0.091880959
7,vts,7477,7.48,0.156346128,0.019840269,0.041594222,0.09990638,0.010431991,0.749196141,0.091748027
8,Plaid,4634,7.59,0.170694864,0.021648461,0.029779888,0.1046612,0.010574018,0.557971014,0.092145015
9,Exabeam,1554,7.82,0.234877735,0.008698173,0.03989704,0.121621622,0.008365508,1.548387097,0.077863578
10,Gusto,9626,7.35,0.134323707,0.024720854,0.025763557,0.084043216,0.012154581,0.911290323,0.074901309
11,squarespace,10196,6.78,0.113083562,0.018230893,0.042565712,0.100627697,0.017457827,1.67281106,0.086504512
12,Klaviyo,10134,7.28,0.123149793,0.017911514,0.030096704,0.086046971,0.00907835,2.104918033,0.075291099
13,Adobe,7591,7.2,0.150046107,0.022545937,0.043077328,0.084969042,0.016993808,0.486238532,0.095244368
14,Verizon,5543,6.85,0.151903301,0.019258993,0.037885622,0.054122316,0.013530579,0.523809524,0.079379397
15,Seismic,2435,9.59,0.213141684,0.019429,0.026694045,0.098973306,0.009034908,2.276923077,0.110472279
16,Cloudflare,6440,7.82,0.167236025,0.018746965,0.028416149,0.083850932,0.010714286,1.431693989,0.08136646
17,Weave,9325,7.01,0.126112601,0.019137287,0.031099196,0.090294906,0.013297587,0.803448276,0.07152815
18,veeam,3156,7.79,0.179974651,0.016142486,0.032002535,0.088719899,0.009505703,2.495049505,0.083333333
19,Rubrik,1839,7.68,0.219684611,0.02014125,0.036976618,0.081022295,0.012506797,1.044117647,0.110929853
20,Welltok,5828,7.23,0.164893617,0.018065414,0.030027454,0.067433082,0.011667811,0.84,0.087680165
21,Amwell,3503,8.87,0.198972309,0.014831066,0.021695689,0.081929774,0.025121325,2.618421053,0.098201542
22,UIPath,13810,6.94,0.113685735,0.02273192,0.037509051,0.095655322,0.012671977,0.644787645,0.070166546
23,Acquia,5194,7.37,0.18348094,0.018574816,0.034270312,0.081055064,0.015979977,0.775280899,0.091644205
24,intercom,8659,7.4,0.138122185,0.021468243,0.032913731,0.099780575,0.01004735,1.287719298,0.081995612
25,Illumio,2060,8.36,0.225728155,0.018632547,0.027669903,0.102427184,0.011165049,0.912280702,0.110679612
26,Lookou,3072,7.51,0.193033854,0.017134356,0.037434896,0.083333333,0.013020833,0.347826087,0.094401042
27,cloudbees,6139,7.39,0.167128197,0.021417607,0.031438345,0.095292393,0.006189933,0.663212435,0.089265353
28,VMware,8023,7.08,0.128256263,0.022958119,0.037766422,0.083260626,0.009971332,0.97359736,0.084133117
29,cloudways,15274,6.57,0.111562132,0.01531128,0.033324604,0.080332591,0.01957575,0.907662083,0.0633102
30,OneTrus,996,7.62,0.248995984,0.008435329,0.039156627,0.128514056,0.015060241,1.820512821,0.063253012
31,Segmen,11095,8.4,0.1215863,0.01681783,0.040288418,0.101216764,0.009463722,2.017897092,0.069400631
32,Sisense,500,8.67,0.266,0.012775842,0.02,0.092,0.004,5.1,0.074
33,Onshape,11491,6.76,0.122443652,0.017803991,0.031067792,0.082499347,0.012009399,0.862745098,0.073883909
34,Carta,2320,7.89,0.224137931,0.022645846,0.030603448,0.112068966,0.011637931,0.929577465,0.119396552
35,salesforce,2902,7.54,0.213301172,0.018164436,0.039627843,0.086147484,0.015506547,1.139130435,0.094073053
36,riskified,6260,7.26,0.163897764,0.024952442,0.037539936,0.10798722,0.006709265,1.531914894,0.079552716
37,talkdesk,8693,8.31,0.138387208,0.017970032,0.029103877,0.090072472,0.010008052,1.656126482,0.077188543
38,Delphi,2668,7.88,0.187781109,0.019849336,0.030734633,0.07946027,0.009370315,1.43902439,0.0982009
39,mailchimp,6104,6.88,0.157273919,0.017601641,0.041775885,0.087155963,0.015072084,0.717647059,0.086336828
40,SAP,5554,8.13,0.174828952,0.018945821,0.024846957,0.092365862,0.009182571,0.782608696,0.083903493
41,Databricks,8805,7.81,0.133901193,0.017991416,0.02725724,0.093696763,0.009653606,2.2125,0.066666667
42,ServiceTitan,8775,7.02,0.131851852,0.018669037,0.034871795,0.098347578,0.010598291,0.68627451,0.073618234
43,Confluen,4989,7.54,0.176187613,0.017014997,0.037482461,0.084185207,0.007817198,0.347593583,0.082381239
44,BambooHR,6749,7.34,0.160023707,0.018143035,0.033338272,0.091272781,0.011557268,0.604444444,0.088013039
45,Cloudinary,3784,7.79,0.190010571,0.020838362,0.029069767,0.078488372,0.014534884,1.690909091,0.098308668
46,Braze,6487,8.04,0.174194543,0.018762344,0.033143209,0.095884076,0.008478495,0.772093023,0.083089255
47,YARDI,7682,7.8,0.14032804,0.021606427,0.02994012,0.087737568,0.008591513,3.034782609,0.081879719
48,AppDirec,6183,7.34,0.163836325,0.020440516,0.033964095,0.080219958,0.009542293,0.747619048,0.09865761
49,yotpo,6852,7.71,0.161412726,0.022794018,0.025685931,0.087419731,0.008318739,1.221590909,0.089900759
50,azure,5651,8.8,0.173243674,0.019238823,0.017165104,0.094319589,0.009555831,2.154639175,0.092549991
51,Auth0,2739,8.25,0.205184374,0.016546932,0.023001095,0.08871851,0.01241329,1.031746032,0.092369478
52,Rackspace,6499,14.41,0.143406678,0.014377574,0.014002154,0.086628712,0.011694107,5.351648352,0.078012002
53,Fuze,2867,7.89,0.199162888,0.018866893,0.028950122,0.095919079,0.013603069,1.325301205,0.099755842
54,Walkme,8223,7.21,0.131582148,0.023008144,0.029186428,0.093883011,0.007661437,0.883333333,0.080870728
55,Sumologic,4386,7.51,0.176014592,0.018213698,0.030779754,0.096899225,0.015503876,0.348148148,0.091883265
56,pcloud,6635,7.18,0.155689525,0.017964221,0.031348907,0.086209495,0.012660136,1.192307692,0.082441598
57,smsassis,3119,8.05,0.192048734,0.020513084,0.024366784,0.090092979,0.007694774,0.434210526,0.098428984
58,Datasta,2524,9.1,0.227020602,0.01539752,0.019017433,0.087163233,0.009904913,2.375,0.109350238
59,Pendo,4056,8.19,0.17800789,0.01939457,0.020463511,0.075197239,0.012573964,2.662650602,0.101084813
60,automationanywhere,3910,7.85,0.202557545,0.021624181,0.030690537,0.094629156,0.011508951,0.433333333,0.106905371
61,Gainsigh,3763,11.87,0.184693064,0.018375444,0.012490035,0.08929046,0.01275578,10.42553191,0.101514749
62,Navisite,1723,7.94,0.224027858,0.014877506,0.033081834,0.118978526,0.020313407,1.245614035,0.098665119
63,Collibra,2166,8.75,0.225300092,0.019903544,0.025854109,0.095567867,0.009695291,1.178571429,0.103416436
64,dialpad,14381,6.64,0.117377095,0.019307329,0.031152215,0.090675196,0.014950282,1.160714286,0.076698422
65,ncino,1866,8.27,0.243301179,0.019205298,0.033226152,0.146302251,0.011254019,0.758064516,0.11789925
66,Toas,12504,6.43,0.105086372,0.017691158,0.038147793,0.083253359,0.012555982,0.245283019,0.061580294
67,Outreach,5126,7.58,0.166211471,0.01959933,0.027506828,0.089153336,0.014436208,0.65248227,0.080569645
68,Ionic,1625,8.04,0.216,0.018362283,0.029538462,0.102153846,0.007384615,0.5,0.108923077
69,Checkr,6469,7.61,0.163703818,0.023311878,0.025197094,0.099397125,0.010820838,0.957055215,0.100633792
70,Blend,4913,7.28,0.158558925,0.018567198,0.027071036,0.08772644,0.013433747,0.571428571,0.085691024
71,egnyte,6777,7.17,0.156116276,0.017587129,0.037332153,0.089124982,0.009443707,0.944664032,0.085878707
72,Canva,8665,7.04,0.13744951,0.018050406,0.034275822,0.092325447,0.016733987,1.053872054,0.084824005
73,Vlocity,4241,8.49,0.203018156,0.017870847,0.023343551,0.126385286,0.011082292,2.575757576,0.105635463
74,ScienceSof,12163,7.34,0.08386089,0.022213597,0.026062649,0.085423004,0.008057223,1.94637224,0.058127107
75,Dataminr,2112,8.3,0.228693182,0.019013666,0.029829545,0.107007576,0.010416667,1.904761905,0.11032197
76,Mixpanel,7540,8.47,0.152387268,0.019160456,0.028912467,0.089787798,0.008885942,1.697247706,0.079840849
77,HashiCorp,2270,7.86,0.222907489,0.017159598,0.033920705,0.100440529,0.020704846,0.701298701,0.111453744
78,Datadog,6243,8.22,0.14432164,0.022035157,0.024987987,0.097549255,0.010411661,1.166666667,0.079769342
79,appsflyer,5445,7.94,0.153902663,0.022356964,0.025528007,0.092929293,0.010835629,1.079136691,0.081726354
80,Sitecore,4583,7.49,0.175649138,0.021300024,0.030111281,0.120663321,0.00850971,1.275362319,0.092297622
81,Dataiku,2334,8.8,0.236932305,0.019831731,0.0218509,0.088260497,0.006855184,2.392156863,0.105826907
