Index,Provider,Complexity,amb_wrds,connective_wrd,imprecise_wrd,grammar_chk,spell_chk,punc_freq,acronym
1,avidxchange,0.780802292,0.586762542,0.966869598,0.644646192,0.182123315,0.57705087,0.291650552,0.039070281
2,Kamatera,0.787965616,0.585515976,0.172303111,0.408408285,0.184863013,1,0.419575201,0.411678013
3,Samsara,0.809455587,0.663325911,0.544252886,0.533467013,0.334782846,0.581902037,0.230307602,0.355254507
4,automattic,0.67765043,0.363670449,0.397802686,0.807915476,0.22268397,0.543942835,0.342655108,0.1003009
5,aws,0.750716332,0.478871029,0.250106362,0.429063384,0.101400205,0.650127568,0.593343868,0.269649897
6,Oracle,0.726361032,0.484894861,0.603162604,0.497766414,0.053119328,0.342232399,0.108187561,0.041577337
7,vts,0.838108883,0.709146914,0.161169176,0.350925809,0.055412266,0.733367899,0.002841401,0.134873863
8,Exabeam,0.733524355,0.632762559,0.561481719,0.56670422,0.221647707,0.449297052,0.325154816,0.067618653
9,Gusto,0.835243553,0.393455063,0.551563769,0.353520907,0.385027718,0.335427548,1.601997477,0.797310841
10,Dropbo,0.638968481,0.291060516,0.2717841,0.49037564,0.281046476,0.298485533,0.613465674,0.511332945
11,squarespace,0.709169054,0.368104583,0.481429161,0.505077696,0.179321776,0.381672977,0.081107885,0.151740433
12,Adobe,0.703438395,0.407922166,0.607253577,0.614308787,0.146040501,0.590285858,0.418555046,0.079633516
13,Verizon,0.88252149,0.277217972,0.839694265,0.703783027,0.981742695,0.538613912,0.220671503,0.460551039
14,Seismic,0.729226361,0.426352409,0.39008056,0.812354124,0.16310216,0.404497544,0.022045353,0.11678933
15,Cloudflare,0.732091691,0.491808433,0.449535895,0.289517708,0.317609367,0.640249508,0.253770894,0.008280409
16,workfron,0.935530086,0.634077979,0.276413164,0.486864038,1,0.674465818,0.090642908,0.30498198
17,Weave,0.744985673,0.561274466,0.404107555,0.838597739,0.052433779,0.61602542,0.281991447,0.097150958
18,Veeam,0.926934097,0.660060048,0.666674885,0.549172725,0.584740527,0.685425887,0.240145228,0.144394433
19,Acquia,0.763610315,0.583695749,1,0.569454604,0.237642761,0.395055618,0.117662792,0.213627086
20,InVision,0.756446991,0.453568977,0.414130106,0.544205463,0.314825162,0.545949294,0.723014514,0.333944625
21,intercom,0.696275072,0.47686545,0.532026505,0.713748848,0.08359326,0.332929305,0.15286257,0.174130882
22,Illumio,0.96991404,0.808487699,0.537127186,0.178421279,0.394474423,0.453326762,0.600599074,0.638046903
23,lookou,0.638968481,0.345245291,0.433077834,0.691688892,0.177810796,0.248209834,0.456028123,0.834319014
24,cloudbees,0.818051576,0.854552453,0.381059692,0.49071213,0.201338378,0.904244486,0.014859761,0.01943112
25,VMware,0.742120344,0.477009735,0.680766391,0.833942788,0.241184652,0.52396833,0.268605714,0.205630814
26,Procore,0.716332378,0.435600867,0.657610579,0.81423712,0.278870214,0.514856411,0.165741555,0.208904575
27,OneTrus,0.729226361,0.422593776,0.756502513,0.358390422,0.276459387,0.384623907,0.033279876,0.222715844
28,Segmen,0.671919771,0.354936113,0.338884577,0.460561308,0.217399506,0.325791922,0.047464108,0.125291739
29,Sisense,0.796561605,0.596567567,0.170359483,0.501723337,0.528077823,0.511557563,0.090258819,0.297551034
30,Onshape,0.896848138,0.525513985,0.426511223,0.556147463,0.124313112,0.548289995,0.038538246,0.102749456
31,Carta,0.777936963,0.7414421,0.474905602,0.571261696,0.250577399,0.943304326,0.086156701,0.249756958
32,salesforce,0.780802292,0.33708622,0.560263656,0.61231196,0.244267147,0.331013521,0.278661776,0.489741057
33,Amplitude,0.663323782,0.364863754,0.939730012,0.446002367,0.07152686,0.238583954,0.007641371,0.244938559
34,riskified,0.64469914,0.31926181,0.560642451,0.824081831,0.088279673,0.170208822,0.279399291,0.175892066
35,talkdesk,0.689111748,0.425816804,0.238164086,0.047342079,0.45510782,0.330636666,0.547285542,0.068621891
36,Delphi,0.808022923,0.591756649,0.350598618,0.965452584,0.42105385,0.594618334,0.051418884,0.213181927
37,Mailchimp,0.716332378,0.215294275,0.50143658,0.838241634,0.372562026,0.370306095,0.07568913,0.150424703
38,SAP,0.810888252,0.504982871,0.351140463,0.350028267,0.268766996,0.358314445,0.320724983,0.421663139
39,Databricks,0.76217765,0.485626993,0.489015008,0.568582001,0.396165282,0.361091135,0.105159695,0.483020967
40,IBMcloud,0.836676218,0.774898664,0.459544358,0.761275772,0.111431888,0.496379787,0.438978742,0.02461263
41,cohesity,0.683381089,0.399926866,0.301466318,1,0.090371879,0.347880417,0.215232422,0.04212573
42,ServiceTitan,0.702005731,0.490932376,0.364927925,0.98699827,0.014332551,0.427026216,0.256499747,0.327258771
43,Uptake,0.700573066,0.653754842,0.545032974,0.874362778,0.085346802,0.656103245,0.158736705,1.072940507
44,Jfrog,0.756446991,0.569688406,0.540809283,0.48973651,0.324286931,0.497645159,0.327793468,0.104837751
45,Confluen,0.749283668,0.524782598,0.619065617,0.755457259,0.132171546,0.591108784,0.021745313,0.110465151
46,TripActions,0.716332378,0.509167851,0.591809036,0.669985419,0.03724374,0.575332892,0.417544002,0.161030174
47,Cloudinary,0.667621777,0.394387337,0.650470984,0.123250875,0.189992068,0.287624624,0.324960778,0.181201179
48,pointclickcare,0.772206304,0.521075262,0.571798596,0.581303368,0.055269359,0.476454558,0.122543623,0.25775406
49,Braze,0.873925501,0.550359819,0.534495022,0.419440138,0.156571294,0.416292427,0.026699261,0.33712373
50,YARDI,0.779369628,0.502819634,0.460026002,0.638739279,0.432597011,0.546036342,0.016061426,0.429022379
51,AppDirec,0.719197708,0.475175979,0.368777498,0.655215555,0.193628276,0.552824305,0.213522301,0.171683909
52,redha,0.713467049,0.410530622,0.642866084,0.616205367,0.034338218,0.310813918,0.053753937,0.284370987
53,yotpo,0.70487106,0.603354431,0.378682111,0.503816334,0.164047332,0.503043394,0.08139645,0.752178265
54,azure,0,0,0.390679391,0.510660345,0.143643551,0,0.098047363,0.416901335
55,Auth0,0.823782235,0.526620578,0.469456938,0.412703654,0.547584655,0.97476379,0.295892667,0.268870979
56,Rackspace,0.915472779,0.604138007,0.625602859,0.753171268,0.378623219,0.764203873,0.045135573,0.216213786
57,Fuze,0.719197708,0.524751986,0.444923362,0.752764144,0.151981122,0.479396236,0.105455235,0.083137621
58,Walkme,0.744985673,0.453078707,0.227975752,0.056892735,0.49106092,0.336790097,0.101324558,0.139213908
59,Darktrace,0.73782235,0.583442439,0.281652435,0.543340358,0.22233389,0.500588834,0.400457267,0.364624482
60,Stripe,0.664756447,0.405322318,0.561384124,0.463411231,0,0.364194286,0.196936532,0.379952366
61,c3,0.819484241,0.770814373,0.493204846,0.51936426,0.151817167,0.374085224,0.568210205,0.278083653
62,Sumologic,0.87965616,0.815151031,0.526707634,0.323765472,0.171071825,0.621140143,0.037097044,0.498771652
63,Icertis,0.76504298,0.648765324,0.455376287,0.501734584,0.305540693,0.66420488,0.107442446,0.181085248
64,pcloud,0.717765043,0.610430596,0.462703105,0.490299138,0.137832196,0.518430448,0.22119263,0.544682816
